# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         1   -2.3733295272e+04    1.3635097779e+03    1.4069234312e+01    1.4000000000e+01    0.0000000000e+00   -2.3727687194e+04    9.9823728707e-01    1.0000000000e+00
         2   -2.3729078773e+04    8.4268030670e+02    1.3962053727e+01    1.4000000000e+01    0.0000000000e+00   -2.3733295272e+04    9.9793822760e-01    1.0000000000e+00
         3   -2.3727269142e+04    1.0060339976e+03    1.3981844601e+01    1.4000000000e+01    0.0000000000e+00   -2.3729078773e+04    9.9791632993e-01    1.0000000000e+00
         4   -2.3732961800e+04    1.8675848015e+03    1.4032027274e+01    1.4000000000e+01    0.0000000000e+00   -2.3727269142e+04    9.9789341763e-01    1.0000000000e+00
         5   -2.3733494801e+04    8.9059017444e+02    1.3995109099e+01    1.4000000000e+01    0.0000000000e+00   -2.3732961800e+04    9.9789119312e-01    9.2857142857e-01
         6   -2.3742355304e+04    7.4390952859e+02    1.4073247782e+01    1.3000000000e+01    0.0000000000e+00   -2.3659386829e+04    9.9795809143e-01    1.0000000000e+00
         7   -2.3736204762e+04    1.9034965067e+03    1.3949124820e+01    1.3000000000e+01    0.0000000000e+00   -2.3668247332e+04    9.9797928119e-01    1.0000000000e+00
         8   -2.3720276370e+04    1.1425657429e+03    1.3859607016e+01    1.4000000000e+01    0.0000000000e+00   -2.3736204762e+04    9.9798589335e-01    9.2857142857e-01
         9   -2.3731568187e+04    1.0752290127e+03    1.4093385141e+01    1.3000000000e+01    0.0000000000e+00   -2.3646168398e+04    9.9798632339e-01    1.0000000000e+00
        10   -2.3739088631e+04    9.6488130947e+02    1.4051193276e+01    1.6000000000e+01    0.0000000000e+00   -2.3865099580e+04    9.9799520796e-01    8.7500000000e-01
        11   -2.3741483548e+04    6.9714788734e+02    1.4033018496e+01    1.4000000000e+01    0.0000000000e+00   -2.3739088631e+04    9.9801038293e-01    1.0000000000e+00
        12   -2.3726019816e+04    1.0402735860e+03    1.3887374574e+01    1.4000000000e+01    0.0000000000e+00   -2.3741483548e+04    9.9805216303e-01    1.0000000000e+00
        13   -2.3732260127e+04    7.8466140820e+02    1.4038655659e+01    1.4000000000e+01    0.0000000000e+00   -2.3726019816e+04    9.9809586001e-01    1.0000000000e+00
        14   -2.3738595409e+04    1.4008850461e+03    1.4038303439e+01    1.4000000000e+01    0.0000000000e+00   -2.3732260127e+04    9.9810171162e-01    9.2857142857e-01
        15   -2.3737420170e+04    5.0631766989e+02    1.4003764775e+01    1.3000000000e+01    0.0000000000e+00   -2.3664487437e+04    9.9809768742e-01    1.0000000000e+00
        16   -2.3736297532e+04    8.9048452695e+02    1.4005328677e+01    1.5000000000e+01    0.0000000000e+00   -2.3806413041e+04    9.9814094346e-01    1.0000000000e+00
        17   -2.3747805738e+04    1.1542573206e+03    1.4077428894e+01    1.5000000000e+01    0.0000000000e+00   -2.3805290404e+04    9.9813688907e-01    9.3333333333e-01
        18   -2.3739773644e+04    7.8656169923e+02    1.3957833316e+01    1.4000000000e+01    0.0000000000e+00   -2.3747805738e+04    9.9817149681e-01    1.0000000000e+00
        19   -2.3733972541e+04    5.5061587805e+02    1.3967312685e+01    1.5000000000e+01    0.0000000000e+00   -2.3808766516e+04    9.9817881627e-01    1.0000000000e+00
        20   -2.3730203586e+04    4.8197076942e+02    1.3972050569e+01    1.5000000000e+01    0.0000000000e+00   -2.3802965413e+04    9.9817449408e-01    9.3333333333e-01
        21   -2.3739820035e+04    2.4424317799e+03    1.4071420478e+01    1.4000000000e+01    0.0000000000e+00   -2.3730203586e+04    9.9817267654e-01    1.0000000000e+00
        22   -2.3731300320e+04    3.5925474057e+02    1.3934454712e+01    1.4000000000e+01    0.0000000000e+00   -2.3739820035e+04    9.9816460178e-01    1.0000000000e+00
        23   -2.3735056270e+04    7.9785714566e+02    1.4037973527e+01    1.5000000000e+01    0.0000000000e+00   -2.3800293192e+04    9.9817231239e-01    1.0000000000e+00
        24   -2.3741288693e+04    7.0979724112e+02    1.4042347910e+01    1.5000000000e+01    0.0000000000e+00   -2.3804049142e+04    9.9818498001e-01    1.0000000000e+00
        25   -2.3749830442e+04    4.0146593603e+02    1.4057690582e+01    1.5000000000e+01    0.0000000000e+00   -2.3810281565e+04    9.9819182730e-01    8.0000000000e-01
        26   -2.3732286730e+04    5.1647232871e+02    1.3895634628e+01    1.2000000000e+01    0.0000000000e+00   -2.3595679762e+04    9.9820644992e-01    1.0000000000e+00
        27   -2.3740867316e+04    1.7754112983e+03    1.4061542285e+01    1.4000000000e+01    0.0000000000e+00   -2.3732286730e+04    9.9819746598e-01    1.0000000000e+00
        28   -2.3725667578e+04    1.6364647245e+03    1.3886289823e+01    1.4000000000e+01    0.0000000000e+00   -2.3740867316e+04    9.9819559097e-01    9.2857142857e-01
        29   -2.3751306982e+04    5.3199222239e+02    1.4187705899e+01    1.3000000000e+01    0.0000000000e+00   -2.3651559606e+04    9.9822336434e-01    1.0000000000e+00
        30   -2.3754818025e+04    9.0661645976e+02    1.4033153692e+01    1.4000000000e+01    0.0000000000e+00   -2.3751306982e+04    9.9820465412e-01    9.2857142857e-01
        31   -2.3739765697e+04    1.2760553702e+03    1.3891103957e+01    1.3000000000e+01    0.0000000000e+00   -2.3680710053e+04    9.9820251949e-01    1.0000000000e+00
        32   -2.3730251707e+04    1.0542731849e+03    1.3925602691e+01    1.3000000000e+01    0.0000000000e+00   -2.3665657725e+04    9.9820192361e-01    1.0000000000e+00
